변경구분,상점ID,상점명,할증ID,할증명,할증유형,판가(전→후),원가(전→후),종료일
매핑해제,257468,[길음역]치킨매니아플러스 길음점,103803,"[성북월곡] 제기,청량리 1,100원",POLYGON,1100,1000,
매핑해제,257468,[길음역]치킨매니아플러스 길음점,106737,"[성북월곡] 코업스타 1,100원",POLYGON,1100,1000,
매핑해제,257468,[길음역]치킨매니아플러스 길음점,139394,"[성북월곡] 용두동 1,100원",POLYGON,1100,1000,
매핑해제,257468,[길음역]치킨매니아플러스 길음점,140631,"[성북월곡] 공릉동 4,400원",POLYGON,4400,4000,
매핑해제,257468,[길음역]치킨매니아플러스 길음점,90038,[성북월곡]정릉동4구역 550원,POLYGON,550,500,
매핑해제,257468,[길음역]치킨매니아플러스 길음점,90040,[성북월곡]정릉동3구역 1650,POLYGON,1650,1500,
매핑해제,257468,[길음역]치킨매니아플러스 길음점,90043,[성북월곡]삼선동1가 3300원,POLYGON,3300,3000,
매핑해제,257468,[길음역]치킨매니아플러스 길음점,90046,[성북월곡]삼선동2가 2200원,POLYGON,2200,2000,
매핑해제,257468,[길음역]치킨매니아플러스 길음점,90047,[성북월곡]정릉동2구역 550,POLYGON,550,500,
매핑해제,257468,[길음역]치킨매니아플러스 길음점,90049,[성북월곡]삼선동3가 1650원,POLYGON,1650,1500,
매핑해제,257468,[길음역]치킨매니아플러스 길음점,90051,[성북월곡] 정릉동고려대 1구역550,POLYGON,550,500,
매핑해제,257468,[길음역]치킨매니아플러스 길음점,90052,[성북월곡]삼선동4가 1650원,POLYGON,1650,1500,
매핑해제,257468,[길음역]치킨매니아플러스 길음점,90053,[성북월곡]삼선동5가 1650원,POLYGON,1650,1500,
매핑해제,257468,[길음역]치킨매니아플러스 길음점,90055,[성북월곡]보문동1가 1100원,POLYGON,1100,1000,
매핑해제,257468,[길음역]치킨매니아플러스 길음점,90057,[성북월곡]보문동3가 2200원,POLYGON,2200,2000,
매핑해제,257468,[길음역]치킨매니아플러스 길음점,90059,[성북월곡]정릉동508번지일대 550,POLYGON,550,500,
매핑해제,257468,[길음역]치킨매니아플러스 길음점,90060,[성북월곡]보문동4가 1100원,POLYGON,1100,1000,
매핑해제,257468,[길음역]치킨매니아플러스 길음점,90061,[성북월곡]보문동5가 1100원,POLYGON,1100,1000,
매핑해제,257468,[길음역]치킨매니아플러스 길음점,90065,[성북월곡]보문동7가 1100원,POLYGON,1100,1000,
매핑해제,257468,[길음역]치킨매니아플러스 길음점,90067,[성북월곡]동소문동1가 2200원,POLYGON,2200,2000,
매핑해제,257468,[길음역]치킨매니아플러스 길음점,90068,[성북월곡]동소문동2가 2200원,POLYGON,2200,2000,
매핑해제,257468,[길음역]치킨매니아플러스 길음점,90070,[성북월곡]동소문동3가 1650원,POLYGON,1650,1500,
매핑해제,257468,[길음역]치킨매니아플러스 길음점,90072,[성북월곡]동소문동4가 1650원,POLYGON,1650,1500,
매핑해제,257468,[길음역]치킨매니아플러스 길음점,90074,[성북월곡]동소문동5가 1100원,POLYGON,1100,1000,
매핑해제,257468,[길음역]치킨매니아플러스 길음점,90081,[성북월곡]성북동1가 2200원,POLYGON,2200,2000,
매핑해제,257468,[길음역]치킨매니아플러스 길음점,90083,[성북월곡] 센터피스 550원,POLYGON,550,500,
매핑해제,257468,[길음역]치킨매니아플러스 길음점,90084,[성북월곡]전농동 6600원,POLYGON,6600,6000,
매핑해제,257468,[길음역]치킨매니아플러스 길음점,90085,[성북월곡]성북동 4400,POLYGON,4400,4000,
매핑해제,257468,[길음역]치킨매니아플러스 길음점,90087,[성북월곡]길음동 클라시아아파트550,POLYGON,550,500,
매핑해제,257468,[길음역]치킨매니아플러스 길음점,90088,[성북월곡] 월계동1구역 550원,POLYGON,550,500,
매핑해제,257468,[길음역]치킨매니아플러스 길음점,90090,[성북월곡]고려대학교 2구역 550원,POLYGON,550,500,
매핑해제,257468,[길음역]치킨매니아플러스 길음점,90091,[성북월곡]이문동2구역 2200,POLYGON,2200,2000,
매핑해제,257468,[길음역]치킨매니아플러스 길음점,90093,[성북월곡]고려대학교 1구역 550원,POLYGON,550,500,
매핑해제,257468,[길음역]치킨매니아플러스 길음점,90094,[성북월곡] 월계동2구역 1650원,POLYGON,1650,1500,
매핑해제,257468,[길음역]치킨매니아플러스 길음점,90095,[성북월곡]이문동3구역 1100,POLYGON,1100,1000,
매핑해제,257468,[길음역]치킨매니아플러스 길음점,90096,[성북월곡] 월계동3구역 1100원,POLYGON,1100,1000,
매핑해제,257468,[길음역]치킨매니아플러스 길음점,90097,[성북월곡] 월계동4구역 2200원,POLYGON,2200,2000,
매핑해제,257468,[길음역]치킨매니아플러스 길음점,90098,[성북월곡]카이스트 한예종 500원,POLYGON,550,500,
매핑해제,257468,[길음역]치킨매니아플러스 길음점,90099,[성북월곡]이문동1구역 1100,POLYGON,1100,1000,
매핑해제,257468,[길음역]치킨매니아플러스 길음점,90280,[성북월곡] 야간할증 770원,WEEKLY_HOURS,770,700,
매핑해제,257468,[길음역]치킨매니아플러스 길음점,90670,[성북월곡] 수유동1 550원,POLYGON,550,500,
매핑해제,257468,[길음역]치킨매니아플러스 길음점,90671,[성북월곡] 수유동2 1100원,POLYGON,1100,1000,
매핑해제,257468,[길음역]치킨매니아플러스 길음점,90672,[성북월곡] 수유동3 1650원,POLYGON,1650,1500,
매핑해제,257468,[길음역]치킨매니아플러스 길음점,90673,[성북월곡] 수유동4 4400원,POLYGON,4400,4000,
매핑해제,257468,[길음역]치킨매니아플러스 길음점,90674,[성북월곡] 수유동5 1100원,POLYGON,1100,1000,
매핑해제,257468,[길음역]치킨매니아플러스 길음점,90675,[성북월곡] 수유동6 1650원,POLYGON,1650,1500,
매핑해제,257468,[길음역]치킨매니아플러스 길음점,90676,[성북월곡] 수유동7 3300원,POLYGON,3300,3000,
매핑해제,257468,[길음역]치킨매니아플러스 길음점,90677,[성북월곡] 수유동8 3300원,POLYGON,3300,3000,
매핑해제,257468,[길음역]치킨매니아플러스 길음점,90678,[성북월곡] 수유동9 3300원,POLYGON,3300,3000,
매핑해제,257468,[길음역]치킨매니아플러스 길음점,94193,"[성북월곡] 한신한진 1,100원",POLYGON,1100,1000,
매핑해제,262643,KFC 신금호역점,144421,[성동행당]*특별할증,WEEKLY_HOURS,0,1000,2026-07-21
매핑해제,262643,KFC 신금호역점,151598,[성동행당]*특별야간할증,WEEKLY_HOURS,0,1000,2026-07-21
매핑해제,262643,KFC 신금호역점,8108,프라임 심야할증,WEEKLY_HOURS,550,500,
매핑해제,30129,올리브영 금호점,144421,[성동행당]*특별할증,WEEKLY_HOURS,0,1000,2026-07-21
매핑해제,30129,올리브영 금호점,4994,올리브영 금호점,REGIONS,0,1000,
매핑해제,30129,올리브영 금호점,9050,[올리브영] 장충동 할증,REGIONS,0,500,
매핑해제,30134,올리브영 상왕십리역점,144421,[성동행당]*특별할증,WEEKLY_HOURS,0,1000,2026-07-21
매핑해제,32622,홈플러스익스프레스 금호2점,144421,[성동행당]*특별할증,WEEKLY_HOURS,0,1000,2026-07-21
매핑해제,32622,홈플러스익스프레스 금호2점,151598,[성동행당]*특별야간할증,WEEKLY_HOURS,0,1000,2026-07-21
매핑해제,32623,홈플러스익스프레스 신금호점,144421,[성동행당]*특별할증,WEEKLY_HOURS,0,1000,2026-07-21
매핑해제,32623,홈플러스익스프레스 신금호점,151598,[성동행당]*특별야간할증,WEEKLY_HOURS,0,1000,2026-07-21
매핑해제,33132,파리바게뜨 응봉점,144421,[성동행당]*특별할증,WEEKLY_HOURS,0,1000,2026-07-21
